symbol,sex,statistic_diet,p.adj_diet,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,statistic_treatment_1472,p.adj_treatment_1472,restoration_FOSGOS,restoration_1472
4932414N04Rik,M,-0.115716647,0.91,-0.475623265,1,0.222628352,1,not restored,not restored
4932438H23Rik,F,0.847346384,0.421,2.519959313,0.066,-0.133675468,0.896,not restored,not restored
4932438H23Rik,M,0.556419537,0.594,0.042891661,0.967,-1.149400649,0.843,not restored,not restored
4933402D24Rik,F,4.211547794,0.002,0.303670891,0.77,-2.442197909,0.106,not restored,not restored
4933402D24Rik,M,-0.232237828,0.821,-1.684742713,0.414,-0.790081936,0.898,not restored,not restored
4933407L21Rik,F,3.323705303,0.018,-0.991507642,0.345,2.278983553,0.092,not restored,not restored
4933407L21Rik,M,-0.004113711,0.997,-0.787140539,1,-0.022715142,1,not restored,not restored
4933409K07Rik,F,0.214262334,0.836,-0.563922318,1,-1.136621959,0.885,not restored,not restored
4933409K07Rik,M,1.148601885,0.302,-0.736357713,1,-1.024790676,1,not restored,not restored
4933424G06Rik,F,1.389782592,0.195,1.375971862,0.414,-0.63059462,0.544,not restored,not restored
4933424G06Rik,M,0.827698468,0.427,-0.883428225,0.402,-2.078851099,0.206,not restored,not restored
4933427D14Rik,F,0.327641475,0.746,-0.048191172,1,-0.184044686,1,not restored,not restored
4933427D14Rik,M,0.189977842,0.851,-0.322391009,1,-0.445248468,1,not restored,not restored
4933428G20Rik,F,-1.029571916,0.331,0.194772655,1,-0.029512639,1,not restored,not restored
4933428G20Rik,M,1.28433224,0.234,0.32847527,1,1.096503995,0.897,not restored,not restored
4933430I17Rik,F,-0.851011025,0.427,0.151983957,0.884,3.276235803,0.026,not restored,not restored
4933430I17Rik,M,1.033953987,0.34,-0.420246295,1,-0.127206696,1,not restored,not restored
4933434E20Rik,F,1.645043282,0.146,-0.003524168,1,-0.343989622,1,not restored,not restored
4933434E20Rik,M,-1.019295528,0.354,0.398184069,1,-0.521710246,1,not restored,not restored
5031439G07Rik,F,0.024092332,0.982,-1.196792424,0.546,0.567398364,0.584,not restored,not restored
5031439G07Rik,M,0.813552841,0.44,0.622439549,1,0.492424172,1,not restored,not restored
5530401A14Rik,F,-0.902582071,0.408,0.955122878,1,-0.772363774,1,not restored,not restored
5530401A14Rik,M,-0.788156395,0.454,0.674582058,1,-0.617396424,1,not restored,not restored
5730409E04Rik,F,1.467473017,0.177,0.332371834,0.748,2.458760542,0.152,not restored,not restored
5730409E04Rik,M,-0.41585916,0.691,0.922806794,1,0.538182553,1,not restored,not restored
5730455P16Rik,F,1.59115845,0.168,-1.15320642,0.556,0.409053563,0.692,not restored,not restored
5730455P16Rik,M,-0.465902747,0.661,0.284167711,1,-0.21772406,1,not restored,not restored
5730480H06Rik,F,1.678061174,0.14,0.910956199,1,0.690973465,1,not restored,not restored
5730480H06Rik,M,0.134960826,0.897,0.192330806,1,-0.557959566,1,not restored,not restored
5730507C01Rik,F,2.185389129,0.054,0.023944935,1,-0.379396253,1,not restored,not restored
5730507C01Rik,M,-1.491978677,0.168,-0.25389791,1,0.604108802,1,not restored,not restored
